ATRS UR Equity,Antares Pharma Inc
ATSG UW Equity,Air Transport Services Group Inc
ATUS UN Equity,Altice USA Inc
ATVI UW Equity,Activision Blizzard Inc
ATW UN Equity,Atwood Oceanics Inc
ATXI UR Equity,Avenue Therapeutics Inc
AUB UW Equity,Atlantic Union Bankshares Corp
AUBN UQ Equity,Auburn National BanCorp Inc
AUTO UR Equity,AutoWeb Inc
AUXL UW Equity,Auxilium Pharmaceuticals LLC
AVA UN Equity,Avista Corp
AVAV UW Equity,AeroVironment Inc
AVB UN Equity,AvalonBay Communities Inc
AVCO UR Equity,Avalon GloboCare Corp
AVD UN Equity,American Vanguard Corp
AVDR UQ Equity,Avedro Inc
AVEO UR Equity,AVEO Pharmaceuticals Inc
AVGO UW Equity,Broadcom Inc
AVGR UQ Equity,Avinger Inc
AVGTF UN Equity,AVG Technologies NV
AVHI UW Equity,AV Homes Inc
AVID UW Equity,Avid Technology Inc
AVIV UN Equity,Aviv REIT Inc
AVLR UN Equity,Avalara Inc
AVNR UW Equity,Avanir Pharmaceuticals Inc
AVNS UN Equity,Avanos Medical Inc
AVNU UW Equity,Avenue Financial Holdings Inc
AVP UN Equity,Avon Products Inc
AVRO UW Equity,Avrobio Inc
AVT UN Equity,Avnet Inc
AVT UW Equity,Avnet Inc
AVTR UN Equity,Avantor Inc
AVX UN Equity,AVX Corp
AVXL UR Equity,Anavex Life Sciences Corp
AVXS UW Equity,AveXis Inc
AVY UN Equity,Avery Dennison Corp
AVYA UN Equity,Avaya Holdings Corp
AWH UR Equity,Aspira Women's Health Inc
AWHHF UN Equity,Allied World Assurance Co Holdings GmbH
AWI UN Equity,Armstrong World Industries Inc
AWK UN Equity,American Water Works Co Inc
AWR UN Equity,American States Water Co
AX UN Equity,Axos Financial Inc
AX UW Equity,Axos Financial Inc
AXAS UR Equity,Abraxas Petroleum Corp
AXDX UR Equity,Accelerate Diagnostics Inc
AXE UN Equity,Anixter International Inc
AXGN UR Equity,Axogen Inc
AXGT UN Equity,Axovant Gene Therapies Ltd
AXGT UW Equity,Axovant Gene Therapies Ltd
AXL UN Equity,American Axle & Manufacturing Holdings I
AXLA UQ Equity,Axcella Health Inc
AXLL UN Equity,Axiall Corp
AXNX UW Equity,Axonics Modulation Technologies Inc
AXP UN Equity,American Express Co
AXS UN Equity,Axis Capital Holdings Ltd
AXSM UQ Equity,Axsome Therapeutics Inc
AXSM UR Equity,Axsome Therapeutics Inc
AXTA UN Equity,Axalta Coating Systems Ltd
AXTI UW Equity,AXT Inc
AY UW Equity,Atlantica Sustainable Infrastructure PLC
AYI UN Equity,Acuity Brands Inc
AYR UN Equity,Aircastle Ltd
AYTU UR Equity,Aytu BioScience Inc
AYX UN Equity,Alteryx Inc
AZO UN Equity,AutoZone Inc
AZPN UW Equity,Aspen Technology Inc
AZZ UN Equity,AZZ Inc
B UN Equity,Barnes Group Inc
BA UN Equity,Boeing Co/The
BAC UN Equity,Bank of America Corp
BAH UN Equity,Booz Allen Hamilton Holding Corp
BALT UN Equity,Baltic Trading Ltd
BANC UN Equity,Banc of California Inc
BAND UW Equity,Bandwidth Inc
BANF UW Equity,BancFirst Corp
BANR UW Equity,Banner Corp
BASX UN Equity,Basic Energy Services Inc
BATRA UW Equity,Liberty Media Corp-Liberty Braves
BATRK UW Equity,Liberty Media Corp-Liberty Braves
BAX UN Equity,Baxter International Inc
BBBY UW Equity,Bed Bath & Beyond Inc
BBCP UR Equity,Concrete Pumping Holdings Inc
BBGI UQ Equity,Beasley Broadcast Group Inc
BBIO UW Equity,Bridgebio Pharma Inc
BBNK UW Equity,Bridge Capital Holdings
BBOX UW Equity,Black Box Corp
BBQ UW Equity,BBQ Holdings Inc
BBRG UW Equity,Bravo Brio Restaurant Group
BBSI UW Equity,Barrett Business Services Inc
BBW UN Equity,Build-A-Bear Workshop Inc
BBX UN Equity,BBX Capital Corp
BBY UN Equity,Best Buy Co Inc
BC UN Equity,Brunswick Corp/DE
BCBP UQ Equity,BCB Bancorp Inc
BCC UN Equity,Boise Cascade Co
BCEI UN Equity,Bonanza Creek Energy Inc
BCEL UW Equity,Atreca Inc
BCLI UR Equity,BrainStorm Cell Therapeutics Inc
BCML UW Equity,Baycom Corp
BCO UN Equity,Brink's Co/The
BCOR UW Equity,Blucora Inc
BCOV UW Equity,Brightcove Inc
BCPC UW Equity,Balchem Corp
BCR UN Equity,CR Bard Inc
BCRHF UN Equity,Blue Capital Reinsurance Holdings Ltd
BCRX UW Equity,BioCryst Pharmaceuticals Inc
BDBD UW Equity,Boulder Brands Inc
BDC UN Equity,Belden Inc
BDGE UW Equity,Bridge Bancorp Inc
BDN UN Equity,Brandywine Realty Trust
BDSI UR Equity,BioDelivery Sciences International Inc
BDSI UW Equity,BioDelivery Sciences International Inc
BDTX UW Equity,Black Diamond Therapeutics Inc
BDX UN Equity,Becton Dickinson and Co
BE UN Equity,Bloom Energy Corp
BEAM UW Equity,Beam Therapeutics Inc
BEAT UW Equity,BioTelemetry Inc
BEAV UW Equity,B/E Aerospace Inc
BEBE UW Equity,bebe stores inc
BECN UW Equity,Beacon Roofing Supply Inc
BEE UN Equity,Strategic Hotels & Resorts Inc
BEL UN Equity,Belmond Ltd
BELFB UW Equity,Bel Fuse Inc
BEN UN Equity,Franklin Resources Inc
BERY UN Equity,Berry Global Group Inc
BETR UN Equity,Amplify Snack Brands Inc
BF/A UN Equity,Brown-Forman Corp
BF/B UN Equity,Brown-Forman Corp
BFAM UN Equity,Bright Horizons Family Solutions Inc
BFC UR Equity,Bank First Corp
BFIN UW Equity,BankFinancial Corp
BFS UN Equity,Saul Centers Inc
BFST UW Equity,Business First Bancshares Inc
BFYT UQ Equity,Benefytt Technologies Inc
BG UN Equity,Bunge Ltd
BGC UN Equity,General Cable Corp
BGCP UW Equity,BGC Partners Inc
BGFV UW Equity,Big 5 Sporting Goods Corp
BGG UN Equity,Briggs & Stratton Corp
BGS UN Equity,B&G Foods Inc
BGSF UA Equity,BG Staffing Inc
BGSF UN Equity,BG Staffing Inc
BH UN Equity,Biglari Holdings Inc
BH/A UN Equity,Biglari Holdings Inc
BHB UA Equity,Bar Harbor Bankshares
BHBK UW Equity,Blue Hills Bancorp Inc
BHE UN Equity,Benchmark Electronics Inc
BHF UW Equity,Brighthouse Financial Inc
BHI UN Equity,Baker Hughes Holdings LLC
BHLB UN Equity,Berkshire Hills Bancorp Inc
BHR UN Equity,Braemar Hotels & Resorts Inc
BHVN UN Equity,Biohaven Pharmaceutical Holding Co Ltd
BID UN Equity,Sotheby's
BIG UN Equity,Big Lots Inc
BIIB UW Equity,Biogen Inc
BILL UN Equity,Bill.com Holdings Inc
BIO UN Equity,Bio-Rad Laboratories Inc
BIPC UN Equity,Brookfield Infrastructure Corp
BIRT UW Equity,Actuate Corp
BIVV UW Equity,Bioverativ Inc
BJ UN Equity,BJ's Wholesale Club Holdings Inc
BJRI UW Equity,BJ's Restaurants Inc
BK UN Equity,Bank of New York Mellon Corp/The
BKD UN Equity,Brookdale Senior Living Inc
BKE UN Equity,Buckle Inc/The
BKFS UN Equity,Black Knight Financial Services Inc
BKH UN Equity,Black Hills Corp
BKI UN Equity,Black Knight Inc
BKMU UW Equity,Bank Mutual Corp
BKNG UW Equity,Booking Holdings Inc
BKR UN Equity,Baker Hughes Co
BKS UN Equity,Barnes & Noble Inc
BKU UN Equity,BankUnited Inc
BKYF UW Equity,Bank of Kentucky Financial Corp/The
BL UW Equity,Blackline Inc
BLBD UQ Equity,Blue Bird Corp
BLCM UQ Equity,Bellicum Pharmaceuticals Inc
BLD UN Equity,TopBuild Corp
BLDR UW Equity,Builders FirstSource Inc
BLFS UR Equity,BioLife Solutions Inc
BLK UN Equity,BlackRock Inc
BLKB UW Equity,Blackbaud Inc
